mnemonic,All usual residents aged 16+,Married,In a registered same-sex civil partnership
W06000023,100.0,51.1,0.2
W06000008,100.0,42.8,0.2
W06000009,100.0,50.4,0.1
W06000010,100.0,49.5,0.1
W06000011,100.0,43.8,0.2
W06000012,100.0,47.3,0.2
W06000013,100.0,48.6,0.2
W06000014,100.0,49.1,0.2
W06000015,100.0,38.5,0.2
W06000016,100.0,45.9,0.2
W06000024,100.0,44.8,0.2
W06000018,100.0,47.9,0.2
W06000019,100.0,44.3,0.2
W06000020,100.0,47.7,0.3
W06000021,100.0,54.1,0.2
W06000022,100.0,45.5,0.4
S12000033,100.0,40.5,0.1
S12000034,100.0,55.9,0.1
S12000041,100.0,51.3,0.1
S12000035,100.0,49.9,0.2
S12000005,100.0,48.3,0.1
S12000006,100.0,51.3,0.2
S12000042,100.0,36.1,0.1
S12000008,100.0,47.4,0.1
S12000045,100.0,55.0,0.1
S12000010,100.0,50.4,0.2
S12000011,100.0,54.9,0.1
S12000036,100.0,38.1,0.3
S12000013,100.0,48.9,0.1
S12000014,100.0,49.3,0.1
S12000015,100.0,48.0,0.2
S12000046,100.0,30.8,0.2
S12000017,100.0,49.6,0.1
S12000018,100.0,42.7,0.1
S12000019,100.0,50.4,0.1
S12000020,100.0,51.6,0.1
S12000021,100.0,46.4,0.2
S12000044,100.0,45.2,0.1
S12000023,100.0,51.2,0.1
S12000024,100.0,51.1,0.1
S12000038,100.0,44.1,0.1
S12000026,100.0,52.2,0.2
S12000027,100.0,49.5,0.1
S12000028,100.0,49.8,0.1
S12000029,100.0,48.1,0.1
S12000030,100.0,47.8,0.1
S12000039,100.0,40.9,0.1
S12000040,100.0,48.7,0.2
95AA,100.0,51.7,0.1
95BB,100.0,54.4,0.1
95CC,100.0,51.4,0.0
95DD,100.0,52.4,0.1
95EE,100.0,52.5,0.1
95FF,100.0,53.8,0.1
95GG,100.0,34.2,0.1
95HH,100.0,51.4,0.1
95II,100.0,51.8,0.1
95JJ,100.0,48.9,0.1
95KK,100.0,50.7,0.1
95LL,100.0,49.3,0.1
95MM,100.0,41.3,0.1
95NN,100.0,49.8,0.1
95OO,100.0,49.8,0.0
95PP,100.0,50.0,0.1
95QQ,100.0,50.1,0.1
95RR,100.0,48.9,0.1
95SS,100.0,50.3,0.1
95TT,100.0,52.4,0.1
95UU,100.0,49.0,0.1
95VV,100.0,48.7,0.1
95WW,100.0,50.1,0.1
95XX,100.0,52.6,0.1
95YY,100.0,50.3,0.1
95ZZ,100.0,47.4,0.0
