mnemonic,All usual residents,%,Area (Hectares),%,Density (number of persons per hectare),%
E06000053,2203,100.0,1637.47,-,1.3,-
E06000024,202566,100.0,37378.60,-,5.4,-
E06000026,256384,100.0,7983.36,-,32.1,-
E06000029,147645,100.0,6475.33,-,22.8,-
E06000025,262767,100.0,49694.56,-,5.3,-
E06000030,209156,100.0,23010.36,-,9.1,-
E06000027,130959,100.0,6287.40,-,20.8,-
E06000054,470981,100.0,325534.12,-,1.4,-
E07000040,132457,100.0,81434.66,-,1.6,-
E07000041,117773,100.0,4702.77,-,25.0,-
E07000042,77750,100.0,91293.48,-,0.9,-
E07000043,93667,100.0,108605.10,-,0.9,-
E07000044,83140,100.0,88649.78,-,0.9,-
E07000045,124220,100.0,67387.00,-,1.8,-
E07000046,63839,100.0,98385.32,-,0.6,-
E07000047,53553,100.0,115963.56,-,0.5,-
E07000048,47752,100.0,5038.96,-,9.5,-
E07000049,87166,100.0,35436.57,-,2.5,-
E07000050,68583,100.0,60921.76,-,1.1,-
E07000051,44973,100.0,40441.57,-,1.1,-
E07000052,99264,100.0,108147.42,-,0.9,-
E07000053,65167,100.0,4175.88,-,15.6,-
E07000078,115732,100.0,4661.37,-,24.8,-
E07000079,82881,100.0,116451.96,-,0.7,-
E07000080,81961,100.0,52650.63,-,1.6,-
E07000081,121688,100.0,4053.68,-,30.0,-
E07000082,112779,100.0,46065.47,-,2.4,-
E07000083,81943,100.0,41441.83,-,2.0,-
E07000187,109279,100.0,73943.51,-,1.5,-
E07000188,114588,100.0,56436.28,-,2.0,-
E07000189,161243,100.0,95904.23,-,1.7,-
E07000190,110187,100.0,46236.29,-,2.4,-
E07000191,34675,100.0,72534.51,-,0.5,-
W06000001,69751,100.0,71124.11,-,1.0,-
W06000002,121874,100.0,253493.94,-,0.5,-
W06000003,115228,100.0,112582.88,-,1.0,-
W06000004,93734,100.0,83674.27,-,1.1,-
W06000005,152506,100.0,43753.91,-,3.5,-
W06000006,134844,100.0,50377.45,-,2.7,-
W06000023,132976,100.0,518037.01,-,0.3,-
W06000008,75922,100.0,178545.43,-,0.4,-
W06000009,122439,100.0,161873.87,-,0.8,-
W06000010,183777,100.0,237035.46,-,0.8,-
W06000011,239023,100.0,37974.42,-,6.3,-
W06000012,139812,100.0,44125.95,-,3.2,-
W06000013,139178,100.0,25074.74,-,5.6,-
W06000014,126336,100.0,33095.28,-,3.8,-
W06000015,346090,100.0,14038.20,-,24.7,-
W06000016,234410,100.0,42412.97,-,5.5,-
