mnemonic,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
E08000014,25.1,14.0,16.6,3.9,12.5,24.1,3.9,2.8,3.7,1.6,0.3,1.7
E08000013,27.9,14.3,16.7,4.4,12.1,20.9,3.8,2.8,3.1,1.3,0.3,1.5
E08000015,23.4,13.7,17.3,4.2,12.5,25.3,3.6,2.9,3.2,1.2,0.3,1.7
E06000011,23.4,13.0,16.2,5.0,12.1,25.9,4.4,2.6,3.0,1.3,0.3,1.4
E06000010,31.7,14.6,15.4,4.0,13.1,15.2,6.0,2.6,7.0,2.0,0.6,4.3
E06000012,29.5,16.1,17.8,4.6,10.8,16.2,4.9,2.7,3.2,1.2,0.4,1.7
E06000013,26.2,15.8,16.7,4.9,11.7,19.5,5.2,2.7,2.7,1.0,0.3,1.4
E06000014,18.0,10.6,13.9,4.5,16.6,32.4,4.1,2.2,11.4,3.4,0.8,7.2
E07000163,20.3,11.7,15.7,4.6,12.3,31.8,3.7,2.7,2.3,1.1,0.2,1.0
E07000164,19.6,12.0,16.1,4.1,12.2,32.1,4.0,2.5,2.0,1.0,0.1,0.9
E07000165,17.3,11.8,16.4,3.6,11.8,34.1,5.0,2.9,2.3,1.2,0.1,1.0
E07000166,18.6,15.0,18.0,3.7,12.3,27.0,5.4,2.2,1.6,0.8,0.1,0.7
E07000167,24.0,12.6,16.3,4.1,11.3,27.3,4.4,2.9,1.9,0.8,0.1,0.9
E07000168,26.0,12.9,16.3,5.3,12.1,22.7,4.8,2.4,3.6,1.4,0.4,1.8
E07000169,21.2,14.0,16.6,5.0,12.8,26.1,4.3,2.8,2.2,1.1,0.2,0.9
E08000016,32.3,14.3,16.2,4.1,11.3,17.4,4.4,2.6,2.6,1.1,0.2,1.3
E08000017,30.3,15.4,17.0,4.5,10.7,17.0,5.2,2.7,2.6,1.0,0.2,1.4
E08000018,29.8,15.5,16.8,4.4,11.5,17.4,4.5,2.8,2.7,1.1,0.3,1.4
E08000019,24.3,12.3,13.7,3.6,15.8,25.7,4.6,2.4,12.2,3.3,1.1,7.8
E08000032,27.7,14.1,14.8,3.8,11.3,21.8,6.5,3.1,5.6,1.8,0.6,3.2
E08000033,23.8,13.6,16.2,4.9,12.3,25.0,4.2,2.8,3.2,1.3,0.3,1.6
E08000034,25.4,13.2,15.0,4.8,12.6,23.9,5.1,2.8,5.5,1.9,0.5,3.0
E08000035,23.2,12.6,14.1,3.7,14.7,26.9,4.7,2.4,9.7,3.1,1.0,5.6
E08000036,31.1,14.6,16.1,4.4,10.6,18.3,4.9,2.6,2.4,1.0,0.2,1.2
E06000015,24.1,13.3,14.5,4.9,13.0,24.2,5.9,2.7,6.5,2.3,0.7,3.5
E06000016,28.6,13.0,12.6,2.0,13.0,21.2,9.7,3.0,12.4,3.3,1.2,7.9
E06000018,25.6,12.2,12.9,2.3,18.6,21.9,6.5,2.3,18.4,3.9,1.5,13.0
E06000017,17.8,12.2,17.5,3.6,12.5,32.9,3.5,4.4,2.5,1.0,0.1,1.4
E07000032,27.0,13.9,15.5,4.6,12.0,23.2,3.9,2.7,2.3,1.0,0.2,1.1
E07000033,32.9,15.3,16.4,3.7,11.4,15.8,4.5,2.7,2.4,1.0,0.2,1.2
E07000034,27.6,14.3,17.0,4.0,12.1,21.0,3.9,2.7,2.5,1.1,0.2,1.2
E07000035,21.5,12.0,15.0,3.4,11.1,33.4,3.7,2.6,2.1,0.9,0.1,1.1
E07000036,25.9,15.3,16.5,5.3,12.3,20.7,4.0,2.7,2.5,1.1,0.2,1.2
E07000037,20.9,13.1,16.0,4.0,13.1,29.4,3.5,2.8,3.4,1.3,0.3,1.8
E07000038,26.9,14.2,16.6,4.4,11.9,22.2,3.8,2.5,2.4,1.0,0.2,1.2
E07000039,22.0,14.1,16.6,4.8,12.8,26.0,3.7,3.0,2.7,1.2,0.2,1.2
E07000129,22.2,14.5,16.1,5.7,12.3,24.9,4.3,2.9,2.9,1.4,0.3,1.3
E07000130,20.5,12.1,14.3,4.8,17.0,26.8,4.5,2.7,11.4,2.6,0.6,8.2
E07000131,18.1,13.3,16.3,4.6,12.1,31.8,3.8,3.0,2.6,1.2,0.1,1.3
E07000132,24.4,14.3,16.1,4.8,12.4,24.1,4.0,2.6,2.4,1.1,0.2,1.1
E07000133,21.4,14.0,16.5,4.8,12.7,26.2,4.5,2.7,2.5,1.2,0.2,1.1
E07000134,26.0,13.2,15.4,4.5,12.4,24.3,4.3,2.7,2.8,1.1,0.2,1.5
E07000135,22.6,13.3,15.1,4.3,14.7,24.8,5.4,3.1,7.8,1.9,0.6,5.2
E07000136,32.7,14.5,15.3,3.3,9.3,15.1,9.9,2.4,2.1,0.9,0.2,1.0
E07000137,32.6,14.2,15.6,4.3,10.5,18.1,4.8,2.4,1.9,0.7,0.2,1.0
E07000138,21.9,13.2,16.1,3.7,18.4,21.3,5.3,2.2,12.1,4.1,1.5,6.4
