mnemonic,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
E07000099,15.5,3.4,12.1,25.1,13.7,9.5,6.3,12.0,8.5,3.1,1.8,1.4,6.2
E07000240,21.1,4.3,16.8,29.3,12.3,9.1,4.2,8.5,5.4,3.0,2.0,1.0,7.2
E07000243,9.5,2.0,7.5,21.0,15.0,8.8,7.8,15.3,11.0,4.5,2.6,1.9,7.1
E07000102,15.3,3.8,11.6,25.9,14.7,11.5,5.4,10.3,6.8,3.2,1.9,1.2,7.0
E07000103,12.1,2.4,9.8,23.9,14.2,9.4,6.4,12.4,8.9,4.9,3.4,1.5,7.8
E07000241,12.0,2.6,9.4,20.8,12.8,8.3,5.7,11.4,8.2,3.3,1.9,1.3,17.5
E07000143,7.5,2.4,5.1,19.0,12.4,11.3,9.0,17.8,14.2,3.6,2.3,1.3,5.1
E07000144,9.7,2.5,7.2,21.9,15.5,11.7,7.8,15.9,9.8,2.5,1.6,0.9,5.3
E07000145,5.1,1.5,3.6,16.1,11.6,10.3,9.1,19.9,16.1,5.9,3.5,2.4,5.9
E07000146,7.0,2.2,4.8,19.0,12.4,11.8,8.9,18.5,13.1,4.1,2.6,1.5,5.2
E07000147,7.3,2.0,5.3,20.4,11.2,15.2,8.3,18.0,11.6,3.6,2.3,1.3,4.4
E07000148,9.3,1.4,7.9,18.4,10.9,6.8,6.5,15.3,12.6,5.4,3.3,2.0,14.8
E07000149,11.3,2.6,8.7,22.9,13.6,12.4,7.1,14.8,9.8,2.7,1.7,1.0,5.5
E07000200,10.5,2.9,7.6,22.8,13.0,12.6,7.4,14.6,10.6,2.9,1.7,1.2,5.5
E07000201,7.8,2.5,5.3,20.8,14.0,9.5,9.4,15.4,14.9,3.4,2.2,1.2,4.8
E07000202,7.9,1.6,6.3,18.3,13.5,7.6,7.9,18.2,14.2,5.7,3.5,2.2,6.8
