Code,Name,Estimated Population mid-2013,Births,Deaths,Births minus Deaths,Internal Migration Inflow,Internal Migration Outflow,Internal Migration Net,International Migration Inflow,International Migration Outflow,International Migration Net,Other,Estimated Population mid-2014
E07000209,Guildford,141009,1570,1049,521,10840,10717,123,2865,1325,1540,-235,142958
E07000210,Mole Valley,86309,789,823,-34,5105,5035,70,377,502,-125,14,86234
E07000211,Reigate and Banstead,141073,1845,1234,611,8740,7451,1289,767,359,408,-287,143094
E07000212,Runnymede,83448,953,626,327,6418,6496,-78,1262,373,889,-2,84584
E07000213,Spelthorne,97456,1278,811,467,5339,5452,-113,542,288,254,42,98106
E07000214,Surrey Heath,86904,939,716,223,5489,5137,352,456,338,118,-64,87533
E07000215,Tandridge,84612,922,785,137,5562,5132,430,314,128,186,9,85374
E07000216,Waverley,122426,1211,1123,88,8056,7839,217,709,597,112,17,122860
E07000217,Woking,99567,1323,754,569,5573,6117,-544,767,946,-179,13,99426
E10000032,West Sussex,821356,8814,8307,507,32302,27394,4908,4864,2947,1917,-290,828398
E07000223,Adur,62505,747,659,88,3718,3227,491,181,89,92,0,63176
E07000224,Arun,152818,1431,1940,-509,7773,6031,1742,847,490,357,6,154414
E07000225,Chichester,115301,1027,1312,-285,7830,7121,709,786,661,125,-323,115527
E07000226,Crawley,108971,1665,712,953,4177,4954,-777,1265,525,740,-4,109883
E07000227,Horsham,132878,1246,1169,77,6978,6058,920,596,326,270,13,134158
E07000228,Mid Sussex,142766,1564,1256,308,7844,6807,1037,723,461,262,4,144377
E07000229,Worthing,106117,1134,1259,-125,5895,5109,786,466,395,71,14,106863
E12000009,SOUTH WEST,5377596,58505,51889,6616,145956,120252,25704,35097,23331,11766,1621,5423303
E06000022,Bath and North East Somerset,180097,1744,1530,214,13066,12452,614,2451,1348,1103,-7,182021
E06000028,Bournemouth,188733,2308,1817,491,15121,14952,169,3361,1384,1977,20,191390
E06000023,"Bristol, City of",437492,6421,3321,3100,28539,27874,665,6419,5209,1210,7,442474
E06000052,Cornwall,541319,5430,5860,-430,21455,17641,3814,2049,1699,350,282,545335
E06000053,Isles of Scilly,2251,22,15,7,201,174,27,16,22,-6,1,2280
E06000024,North Somerset,206135,2238,2146,92,9622,8010,1612,770,485,285,30,208154
E06000026,Plymouth,259175,3107,2209,898,13305,13479,-174,2093,861,1232,415,261546
E06000029,Poole,149009,1615,1569,46,9461,8758,703,754,403,351,0,150109
E06000025,South Gloucestershire,269107,3112,1931,1181,13936,14119,-183,1714,671,1043,408,271556
E06000030,Swindon,214038,2900,1610,1290,7513,7474,39,1562,1154,408,24,215799
E06000027,Torbay,132075,1434,1717,-283,6882,5832,1050,479,379,100,42,132984
E06000054,Wiltshire,479634,5201,4188,1013,21203,18920,2283,2028,2762,-734,947,483143
E10000008,Devon,758052,7249,8115,-866,33270,27861,5409,4360,1874,2486,221,765302
E07000040,East Devon,134898,1153,1809,-656,7878,5802,2076,397,266,131,-75,136374
E07000041,Exeter,121800,1387,943,444,10913,10532,381,2387,669,1718,-15,124328
E07000042,Mid Devon,78670,809,677,132,4413,4152,261,293,175,118,17,79198
E07000043,North Devon,93825,983,1055,-72,4470,4411,59,275,145,130,117,94059
E07000044,South Hams,83850,687,857,-170,5234,4975,259,318,251,67,102,84108
E07000045,Teignbridge,126001,1143,1479,-336,7280,5788,1492,328,181,147,53,127357
E07000046,Torridge,65089,622,726,-104,3899,3364,535,176,84,92,6,65618
E07000047,West Devon,53919,465,569,-104,3462,3116,346,186,103,83,16,54260
E10000009,Dorset,416721,3464,4718,-1254,21101,17989,3112,1404,900,504,-814,418269
E07000048,Christchurch,48368,380,672,-292,3427,2625,802,137,121,16,1,48895
E07000049,East Dorset,87899,636,1013,-377,5403,4847,556,227,116,111,-3,88186
E07000050,North Dorset,69883,611,624,-13,4245,4097,148,312,153,159,-134,70043
E07000051,Purbeck,45411,385,475,-90,2726,2360,366,157,90,67,-75,45679
E07000052,West Dorset,100026,782,1215,-433,6516,5644,872,363,256,107,-98,100474
E07000053,Weymouth and Portland,65134,670,719,-49,3337,2969,368,208,164,44,-505,64992
E10000013,Gloucestershire,605654,6643,5730,913,23975,20126,3849,3277,2473,804,112,611332
E07000078,Cheltenham,115900,1431,1030,401,7667,7473,194,999,1007,-8,8,116495
E07000079,Cotswold,84079,731,867,-136,5911,5319,592,432,426,6,96,84637
E07000080,Forest of Dean,82937,762,825,-63,4466,3720,746,214,141,73,-19,83674
E07000081,Gloucester,124562,1703,1027,676,6224,6254,-30,885,472,413,28,125649
E07000082,Stroud,113920,1037,1200,-163,6061,4808,1253,325,236,89,-6,115093
E07000083,Tewkesbury,84256,979,781,198,5847,4753,1094,422,191,231,5,85784
E10000027,Somerset,538104,5617,5413,204,21166,18451,2715,2360,1707,653,-67,541609
E07000187,Mendip,110181,1086,1039,47,6232,5720,512,498,399,99,5,110844
E07000188,Sedgemoor,117544,1269,1121,148,5960,4904,1056,529,257,272,37,119057
E07000189,South Somerset,163943,1717,1626,91,7616,7160,456,666,541,125,-46,164569
E07000190,Taunton Deane,112116,1243,1193,50,5733,5161,572,527,379,148,-69,112817
E07000191,West Somerset,34320,302,434,-132,2007,1888,119,140,131,9,6,34322
W92000004,WALES,3082412,33596,30294,3302,57484,57319,165,15180,9283,5897,260,3092036
W06000001,Isle of Anglesey,70091,769,785,-16,2377,2371,6,130,64,66,22,70169
W06000002,Gwynedd,121911,1209,1166,43,5395,5732,-337,965,307,658,-2,122273
W06000003,Conwy,115835,1086,1439,-353,4927,4122,805,293,276,17,-17,116287
W06000004,Denbighshire,94510,1072,1151,-79,4714,4361,353,201,181,20,-13,94791
W06000005,Flintshire,153240,1648,1295,353,4857,4786,71,450,319,131,9,153804
W06000006,Wrexham,136399,1602,1314,288,4034,4148,-114,538,393,145,-4,136714
W06000023,Powys,132705,1189,1416,-227,5309,5133,176,340,304,36,-15,132675
W06000008,Ceredigion,75964,631,675,-44,5342,6076,-734,563,328,235,4,75425
W06000009,Pembrokeshire,123261,1196,1313,-117,4092,3629,463,289,205,84,-25,123666
W06000010,Carmarthenshire,184681,1827,2041,-214,6286,6078,208,602,402,200,23,184898
W06000011,Swansea,240332,2475,2284,191,9393,9870,-477,2215,1028,1187,64,241297
W06000012,Neath Port Talbot,139898,1492,1480,12,4418,3913,505,181,100,81,-6,140490
W06000013,Bridgend,140480,1523,1450,73,4198,3722,476,366,234,132,53,141214
W06000014,The Vale of Glamorgan,127159,1304,1202,102,4931,4575,356,284,237,47,21,127685
W06000015,Cardiff,351710,4591,2622,1969,19849,21102,-1253,5248,3444,1804,64,354294
W06000016,Rhondda Cynon Taf,236114,2783,2487,296,6667,6809,-142,838,255,583,37,236888
W06000024,Merthyr Tydfil,59021,691,598,93,1460,1610,-150,178,89,89,12,59065
W06000018,Caerphilly,179247,2084,1686,398,4808,4570,238,184,138,46,12,179941
W06000019,Blaenau Gwent,69789,797,737,60,1664,1878,-214,106,64,42,-3,69674
W06000020,Torfaen,91407,1057,903,154,2458,2461,-3,93,55,38,13,91609
W06000021,Monmouthshire,92100,735,883,-148,4530,4113,417,200,217,-17,-16,92336
W06000022,Newport,146558,1835,1367,468,5339,5824,-485,916,643,273,27,146841
S92000003,SCOTLAND,5327700,56101,52584,3517,49242,39657,9585,33200,25200,8000,-1202,5347600
S12000033,Aberdeen City,227070,2598,2066,532,10004,10557,-553,4202,2237,1965,-94,228920
S12000034,Aberdeenshire,257770,2803,2205,598,9280,7363,1917,1062,938,124,121,260530
S12000041,Angus,116290,1118,1250,-132,3890,3272,618,340,313,27,-63,116740
S12000035,Argyll and Bute,88050,710,979,-269,3546,3587,-41,239,473,-234,144,87650
S12000005,Clackmannanshire,51280,528,491,37,1605,1661,-56,128,154,-26,-45,51190
S12000006,Dumfries and Galloway,150280,1279,1857,-578,3835,3234,601,212,479,-267,-76,149960
S12000042,Dundee City,148100,1619,1470,149,5581,5848,-267,1276,1021,255,-107,148130
S12000008,East Ayrshire,122430,1249,1416,-167,3155,3071,84,94,268,-174,-43,122130
S12000045,East Dunbartonshire,105840,937,996,-59,3945,2928,1017,102,210,-108,20,106710
S12000010,East Lothian,101390,1019,1011,8,3794,3113,681,341,310,31,-20,102090
S12000011,East Renfrewshire,91530,863,856,7,3698,2755,943,125,178,-53,-17,92410
S12000036,City of Edinburgh,487460,5600,4032,1568,20977,20955,22,8462,5188,3274,286,492610
S12000013,Eilean Siar,27400,257,308,-51,786,826,-40,32,80,-48,-11,27250
S12000014,Falkirk,157160,1683,1463,220,3846,3446,400,327,312,15,-105,157690
S12000015,Fife,366900,3871,3554,317,9265,8724,541,1629,1520,109,-617,367250
S12000046,Glasgow City,596520,7311,6166,1145,21415,23364,-1949,8897,4901,3996,-72,599640
S12000017,Highland,232930,2236,2208,28,6524,6197,327,719,807,-88,-117,233080
S12000018,Inverclyde,80340,774,932,-158,1306,1513,-207,70,133,-63,-22,79890
S12000019,Midlothian,84710,1022,821,201,3378,2318,1060,149,189,-40,289,86220
S12000020,Moray,94360,934,934,0,3197,2688,509,282,324,-42,-57,94770
S12000021,North Ayrshire,136940,1284,1552,-268,3414,3383,31,136,304,-168,-55,136480
S12000044,North Lanarkshire,337780,3695,3255,440,6430,6351,79,490,655,-165,-134,338000
S12000023,Orkney Islands,21560,174,215,-41,695,612,83,52,68,-16,-6,21580
S12000024,Perth and Kinross,147770,1286,1483,-197,5518,4578,940,1241,774,467,-50,148930
S12000038,Renfrewshire,173890,1810,1800,10,4597,4217,380,431,439,-8,-42,174230
S12000026,Scottish Borders,113880,1139,1200,-61,3913,3460,453,283,456,-173,-59,114040
S12000027,Shetland Islands,23200,236,204,32,623,589,34,51,90,-39,-7,23220
S12000028,South Ayrshire,112870,999,1399,-400,3265,2996,269,166,332,-166,-43,112530
S12000029,South Lanarkshire,314810,3235,3191,44,7923,7039,884,371,744,-373,-65,315300
S12000030,Stirling,91230,822,901,-79,4519,4008,511,614,658,-44,-98,91520
S12000039,West Dunbartonshire,89800,965,980,-15,2140,2207,-67,116,147,-31,23,89710
S12000040,West Lothian,176160,2045,1389,656,4672,4291,381,561,498,63,-60,177200
N92000002,NORTHERN IRELAND,1829725,24185,14337,9848,11081,11747,-666,13300,11063,2237,-646,1840498
N09000001,Antrim and Newtownabbey,139536,1747,1105,642,4596,4833,-237,678,804,-126,151,139966
N09000002,"Armagh, Banbridge and Craigavon",203757,2928,1480,1448,4536,4585,-49,1680,810,870,-315,205711
N09000003,Belfast,335133,4686,2912,1774,14115,14955,-840,4710,4330,380,383,336830
N09000004,Causeway Coast and Glens,141699,1675,1071,604,4478,4506,-28,632,678,-46,74,142303
N09000005,Derry and Strabane,148632,2045,1015,1030,3104,3600,-496,683,885,-202,234,149198
N09000006,Fermanagh and Omagh,114365,1452,939,513,2521,2555,-34,745,549,196,-48,114992
N09000007,Lisburn and Castlereagh,136808,1720,1051,669,5993,5110,883,476,463,13,254,138627
N09000008,Mid and East Antrim,135997,1543,1176,367,3434,3293,141,768,479,289,-152,136642
N09000009,Mid Ulster,141329,2143,926,1217,2953,3131,-178,1317,670,647,-120,142895
N09000010,"Newry, Mourne and Down",174829,2512,1271,1241,4065,4406,-341,1143,796,347,-673,175403
N09000011,North Down and Ards,157640,1734,1391,343,4266,3753,513,468,599,-131,-434,157931
